"stop_id","stop_code","stop_name","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","zone_id"
"9711","38","U Trianglu","50.7860641479492","15.0730934143066","1","","2","1"
"14111","39","Hrdinů","50.7822952270508","15.0504932403564","1","","2","1"
"20611","40","Hrubínova","50.7621154785156","15.0905780792236","1","","2","1"
"10711","41","Husova","50.7717132568359","15.0711212158203","1","","2","1"
"24911","43","Jablonec n.N., Tyršovy sady","50.7231826782227","15.1644458770752","1","","1","2"
"22411","45","Janův Důl","50.7529220581055","15.0368032455444","1","","1","1"
"14511","46","Janův most","50.7953300476074","15.0599756240845","1","","2","1"
"19611","47","Jedlová","50.8029556274414","15.0600938796997","1","","2","1"
"8511","48","Vlčí vrch","50.7674751281738","15.0954074859619","1","","2","1"
"8811","50","Kadlická","50.7614822387695","15.1102561950684","1","","2","1"
"6611","51","Karlinky","50.7593154907227","15.0218029022217","1","","2","1"
"7311","52","Karlov","50.7770042419434","14.9877033233643","1","","2","1"
"7111","53","Karlovská","50.7715530395508","14.9984035491943","1","","2","1"
"17011","54","Kateřinky les. správa","50.7972717285156","15.0850591659546","1","","2","1"
"14811","55","Kateřinky Zlatá ulička","50.7986145019531","15.0773334503174","1","","2","1"
"10211","56","Škola Kateřinky","50.7979583740234","15.097393989563","1","","2","1"
"5311","57","Košická","50.7602691650391","15.0555582046509","1","","2","1"
"6811","58","Kovošrot","50.7627334594727","15.0174617767334","1","","2","1"
"2711","59","Králův Háj","50.7672729492188","15.0827693939209","1","","2","1"
"20211","60","Krásná Studánka","50.8099670410156","15.0356521606445","1","","2","1"
"20011","61","Kr. Studánka kovárna","50.8001251220703","15.0373382568359","1","","2","1"
"20111","62","Kr. Studánka Švestková","50.8029937744141","15.0367469787598","1","","2","1"
"4911","63","Krejčího","50.7520637512207","15.069450378418","1","","2","1"
"22111","64","Krkonošská","50.7604484558105","15.0423221588135","1","","1","1"
"7911","65","Kryštofovo Údolí","50.7776489257813","14.9430923461914","1","","2","1"
"7811","66","Kryštofovo Údolí lom","50.7790031433105","14.9509429931641","1","","2","1"
"8011","67","Kryšt. Údolí ob. úřad","50.7736434936523","14.9324254989624","1","","2","1"
"1711","68","Kubelíkova","50.7505302429199","15.032621383667","1","","2","1"
"411","69","Kunratická sídliště","50.7607765197754","15.0958871841431","1","","2","1"
"311","71","Kynologické cvičiště","50.7572593688965","15.1032104492188","1","","2","1"
"23711","72","Kyselka","50.7347831726074","15.1065101623535","1","","2","1,2"
"8711","73","Vřesová","50.7620315551758","15.1049947738647","1","","2","1"
"14211","74","Letná","50.7851638793945","15.0519866943359","1","","2","1"
"6111","75","Pavlovice Letná","50.7854919433594","15.0499963760376","1","","2","1"
"21411","76","Riegrova","50.7763595581055","15.0790386199951","1","","2","1"
"11011","77","Lesní správa","50.7736053466797","15.0919055938721","1","","2","1"
"23411","78","Lékárna","50.7456741333008","15.0856313705444","1","","1","1"
"13311","80","Jeřmanická","50.7412338256836","15.0688724517822","1","","2","1"
"21311","81","Lidové sady - ZOO","50.7781715393066","15.0813150405884","1","","1","1"
